,LatitudeDegrees,LongitudeDegrees
0,37.53258883,-121.9388292
1,37.53272217,-121.9384035
2,37.53295224,-121.9381195
3,37.53309454,-121.9377972
4,37.53319333,-121.9375096
5,37.53340977,-121.9372029
6,37.5335745,-121.9367806
7,37.53373318,-121.9365703
8,37.53392233,-121.9362164
9,37.53413181,-121.9358048
10,37.53424118,-121.9355008
11,37.53438877,-121.9352526
12,37.53452456,-121.9349168
13,37.53460938,-121.9345898
14,37.53491281,-121.9342232
15,37.53500153,-121.934019
16,37.53526105,-121.9335598
17,37.53536816,-121.9332407
18,37.53560121,-121.9328931
19,37.53573717,-121.9326576
20,37.53588974,-121.9323745
21,37.53607281,-121.9319216
22,37.53622468,-121.9316771
23,37.53639962,-121.93132
24,37.53659241,-121.9310837
25,37.53680475,-121.9306618
26,37.53689699,-121.9304308
27,37.53702074,-121.930015
28,37.53718377,-121.9297607
29,37.53738744,-121.9294314
30,37.53759082,-121.9291333
31,37.53761747,-121.9287935
32,37.5378461,-121.9284637
33,37.53800558,-121.9281144
34,37.53813899,-121.9278836
35,37.53842439,-121.9274728
36,37.53848928,-121.9271912
37,37.53870376,-121.9269202
38,37.53892743,-121.9265763
39,37.53917255,-121.9263503
40,37.53933916,-121.9260444
41,37.53950381,-121.9258332
42,37.53963986,-121.9255769
43,37.53991407,-121.925355
44,37.54014944,-121.9250904
45,37.54038944,-121.9247138
46,37.5409067,-121.9244167
47,37.5409067,-121.9244167
48,37.540738,-121.9242639
49,37.5412803,-121.9236538
50,37.5412803,-121.9236538
51,37.5413598,-121.9231011
52,37.5414552,-121.9228184
53,37.5422884,-121.9232101
54,37.5425901,-121.9230044
55,37.5427219,-121.9228596
56,37.54256623,-121.9223152
57,37.542961,-121.9217456
58,37.5432017,-121.9218084
59,37.542961,-121.9217456
60,37.5433997,-121.9215916
61,37.5433628,-121.9213085
62,37.54364096,-121.9210976
63,37.5437964,-121.9209105
64,37.5441522,-121.9209302
65,37.5442644,-121.9208503
66,37.5446189,-121.9206267
67,37.544739,-121.9205599
68,37.545104,-121.9203832
69,37.5451198,-121.9201139
70,37.5453762,-121.920016
71,37.5455058,-121.919974
72,37.545766,-121.9199004
73,37.54614237,-121.9198701
74,37.5464291,-121.9197905
75,37.546697,-121.9197688
76,37.5469637,-121.9197487
77,37.5469637,-121.9197487
78,37.5476305,-121.9196967
79,37.5478202,-121.9199412
80,37.5480278,-121.9196531
81,37.54829384,-121.9196622
82,37.5487273,-121.9197477
83,37.5489347,-121.9194127
84,37.54918519,-121.9193345
85,37.5494371,-121.919185
86,37.5496845,-121.9190517
87,37.5499326,-121.918919
88,37.5502126,-121.9188551
89,37.5506603,-121.9185269
90,37.5506603,-121.9185269
91,37.5511557,-121.918261
92,37.5511557,-121.918261
93,37.5516484,-121.9179952
94,37.5516484,-121.9179952
95,37.552139,-121.9177334
96,37.552139,-121.9177334
97,37.5526286,-121.9174708
98,37.5526286,-121.9174708
99,37.5526286,-121.9174708
100,37.55324157,-121.917213
101,37.5537326,-121.9168768
102,37.5537326,-121.9168768
103,37.55398951,-121.9167556
104,37.55428615,-121.9166394
105,37.5544472,-121.916455
106,37.5544472,-121.916455
