,LatitudeDegrees,LongitudeDegrees
0,37.5325536,-121.9386825
1,37.532597,-121.9382502
2,37.5330611,-121.9381624
3,37.5329152,-121.9379862
4,37.5334904,-121.937172
5,37.5334904,-121.937172
6,37.5335745,-121.9367806
7,37.5335491,-121.9367529
8,37.5342336,-121.9364856
9,37.5340739,-121.9357053
10,37.5340739,-121.9357053
11,37.5347503,-121.9355339
12,37.5345767,-121.9347272
13,37.5345767,-121.9347272
14,37.53491281,-121.9342232
15,37.5353545,-121.9343637
16,37.5350106,-121.9334258
17,37.5356128,-121.9335144
18,37.5358499,-121.9327445
19,37.5358499,-121.9327445
20,37.5356568,-121.9326291
21,37.5358081,-121.9317267
22,37.5360129,-121.9315099
23,37.5361597,-121.9312223
24,37.5367955,-121.931293
25,37.5369201,-121.9306677
26,37.5367508,-121.9305377
27,37.5367612,-121.9300119
28,37.5375628,-121.9294236
29,37.5373994,-121.9292797
30,37.5373994,-121.9292797
31,37.537829,-121.9289013
32,37.5382089,-121.9284452
33,37.5380425,-121.9280184
34,37.53813899,-121.9278836
35,37.538332,-121.9274594
36,37.53848928,-121.9271912
37,37.53870376,-121.9269202
38,37.53892743,-121.9265763
39,37.5392856,-121.9263184
40,37.5392354,-121.9260199
41,37.5394201,-121.92578
42,37.53963986,-121.9255769
43,37.5398112,-121.9253262
44,37.5400098,-121.9251048
45,37.54038944,-121.9247138
46,37.5403731,-121.9246741
47,37.5409067,-121.9244167
48,37.540738,-121.9242639
49,37.5412803,-121.9236538
50,37.5412803,-121.9236538
51,37.5413598,-121.9231011
52,37.5414552,-121.9228184
53,37.5422884,-121.9232101
54,37.5425901,-121.9230044
55,37.5427219,-121.9228596
56,37.54256623,-121.9223152
57,37.542961,-121.9217456
58,37.5432017,-121.9218084
59,37.542961,-121.9217456
60,37.5433997,-121.9215916
61,37.5433628,-121.9213085
62,37.54364096,-121.9210976
63,37.5437964,-121.9209105
64,37.5441522,-121.9209302
65,37.5442644,-121.9208503
66,37.5446189,-121.9206267
67,37.544739,-121.9205599
68,37.545104,-121.9203832
69,37.5451198,-121.9201139
70,37.5453762,-121.920016
71,37.5455058,-121.919974
72,37.545766,-121.9199004
73,37.54614237,-121.9198701
74,37.5464291,-121.9197905
75,37.546697,-121.9197688
76,37.5469637,-121.9197487
77,37.5469637,-121.9197487
78,37.5476305,-121.9196967
79,37.5478202,-121.9199412
80,37.5480278,-121.9196531
81,37.54829384,-121.9196622
82,37.5487273,-121.9197477
83,37.5489347,-121.9194127
84,37.54918519,-121.9193345
85,37.5494371,-121.919185
86,37.5496845,-121.9190517
87,37.5499326,-121.918919
88,37.5502126,-121.9188551
89,37.5506603,-121.9185269
90,37.5506603,-121.9185269
91,37.5511557,-121.918261
92,37.5511557,-121.918261
93,37.5516484,-121.9179952
94,37.5516484,-121.9179952
95,37.552139,-121.9177334
96,37.552139,-121.9177334
97,37.5526286,-121.9174708
98,37.5526286,-121.9174708
99,37.5526286,-121.9174708
100,37.55324157,-121.917213
101,37.5537326,-121.9168768
102,37.5537326,-121.9168768
103,37.55398951,-121.9167556
104,37.55428615,-121.9166394
105,37.5544472,-121.916455
106,37.5544472,-121.916455
