,LatitudeDegrees,LongitudeDegrees
0,37.540738,-121.9242639
1,37.542961,-121.9217456
2,37.5444957,-121.9204223
3,37.545635,-121.9199353
4,37.547898,-121.9196695
5,37.5490641,-121.91936
6,37.5544472,-121.916455
7,37.5448584,-121.9204973
8,37.5504831,-121.9174014
9,37.5432017,-121.9218084
10,37.5492296,-121.9195559
11,37.5520095,-121.9180802
12,37.5455813,-121.9194587
13,37.5437353,-121.9203814
14,37.5411599,-121.9232433
15,37.5399748,-121.9231961
16,37.5437097,-121.9212881
17,37.5482908,-121.9196052
18,37.5516484,-121.9179952
19,37.5457373,-121.9201641
20,37.5483422,-121.9198528
21,37.540692,-121.9233318
22,37.5403857,-121.9231977
23,37.5452481,-121.9200627
24,37.5435745,-121.9211056
25,37.5409067,-121.9244167
26,37.5540916,-121.9166725
27,37.5494371,-121.919185
28,37.5495962,-121.919375
29,37.5469637,-121.9197487
30,37.5478972,-121.9195348
31,37.548197,-121.919457
32,37.5484671,-121.9193578
33,37.5487499,-121.9192344
34,37.5490072,-121.9191057
35,37.5491646,-121.9190091
36,37.5492773,-121.9189018
37,37.5493815,-121.9187677
38,37.5494559,-121.9186095
39,37.5495091,-121.9184298
40,37.5496175,-121.9180408
41,37.5496898,-121.9178745
42,37.5497792,-121.9177485
43,37.5498961,-121.9176439
44,37.5500237,-121.9175607
45,37.5501662,-121.9174937
46,37.5432599,-121.9214153
47,37.5476895,-121.9199537
48,37.5465163,-121.9200318
49,37.5461252,-121.9200811
50,37.5452295,-121.9203318
51,37.5443811,-121.9207723
52,37.5440387,-121.9210145
53,37.5433997,-121.9215916
54,37.5460291,-121.9198437
55,37.5464291,-121.9197905
56,37.547559,-121.9199628
57,37.5474942,-121.9197089
58,37.5487273,-121.9197477
59,37.5479538,-121.9199243
60,37.5486805,-121.9194989
61,37.5455111,-121.9195257
62,37.5454218,-121.9195874
63,37.5439118,-121.9202848
64,37.5435631,-121.9205101
65,37.5433887,-121.920663
66,37.5432377,-121.9208293
67,37.5414342,-121.9230233
68,37.5413598,-121.9231011
69,37.5412641,-121.9231762
70,37.5410514,-121.9232916
71,37.5409344,-121.9233211
72,37.5408132,-121.9233372
73,37.5405644,-121.9232969
74,37.5402751,-121.9231521
75,37.540156,-121.923136
76,37.5400539,-121.9231548
77,37.5399088,-121.9232969
78,37.544048,-121.9211342
79,37.5438939,-121.92129
80,37.5436958,-121.9215044
81,37.5435952,-121.9216225
82,37.5435042,-121.9217304
83,37.5447419,-121.9202854
84,37.5440199,-121.9207373
85,37.5398955,-121.9237401
86,37.5401071,-121.9238884
87,37.5405582,-121.9235068
88,37.54088,-121.9237259
89,37.5399108,-121.923628
90,37.5405227,-121.9241121
91,37.540251,-121.923301
92,37.5404286,-121.9241322
93,37.5403233,-121.9233495
94,37.5449791,-121.9170008
95,37.5490778,-121.9187453
96,37.5441816,-121.9134613
97,37.5453256,-121.9192087
98,37.5461058,-121.9201608
99,37.5444302,-121.9202233
100,37.5417779,-121.9246854
101,37.5441101,-121.9131025
102,37.5433647,-121.9220727
103,37.5438288,-121.9087555
104,37.5452926,-121.9197263
105,37.5450891,-121.918436
106,37.5488253,-121.9196632
107,37.5460235,-121.9200849
108,37.5443808,-121.9203544
109,37.5445281,-121.9150897
110,37.5425901,-121.9230044
111,37.5491383,-121.9186625
112,37.5452376,-121.9190638
113,37.5487704,-121.919739
114,37.5446334,-121.9201474
115,37.544088,-121.9128817
116,37.5427219,-121.9228596
117,37.5438011,-121.9078861
118,37.5439579,-121.9212584
119,37.5448524,-121.9160693
120,37.5487429,-121.9191526
121,37.545864,-121.9196157
122,37.5440811,-121.9069339
123,37.5443863,-121.9202578
124,37.5466937,-121.9201676
125,37.5444346,-121.9147032
126,37.545386,-121.9194295
127,37.5487979,-121.9197184
128,37.545397,-121.9196021
129,37.5450616,-121.9182497
130,37.5430021,-121.9225214
131,37.5437631,-121.9097837
132,37.5440897,-121.9210652
133,37.5448195,-121.9159245
134,37.5459134,-121.9196364
135,37.5442293,-121.9064784
136,37.5445018,-121.9208167
137,37.5475288,-121.9201122
138,37.5447158,-121.9201059
139,37.543857,-121.9113913
140,37.5453585,-121.9192984
141,37.5477431,-121.9200362
142,37.5450176,-121.9177322
143,37.5487483,-121.9191112
144,37.5438234,-121.9090592
145,37.5434416,-121.9219623
146,37.544979,-121.9172217
147,37.5442145,-121.9135647
148,37.5444084,-121.9204855
149,37.5460399,-121.9201263
150,37.5449246,-121.9199678
151,37.5417212,-121.9247899
152,37.5438513,-121.9109152
153,37.5431559,-121.9223212
154,37.5484078,-121.9198772
155,37.5451168,-121.9198712
156,37.5452156,-121.9190087
157,37.5489405,-121.9188557
158,37.5459464,-121.9196709
159,37.5443939,-121.9060643
160,37.5438261,-121.9215206
161,37.5402389,-121.9231472
162,37.5398125,-121.9234735
163,37.5415286,-121.9241819
164,37.5403493,-121.923414
165,37.5404712,-121.9234829
166,37.5406412,-121.9235791
167,37.5403108,-121.923921
168,37.5404738,-121.9240366
169,37.5407981,-121.9236678
