,LatitudeDegrees,LongitudeDegrees
0,37.4115403,-122.0925243
1,37.410616,-122.0899715
2,37.4124347,-122.0906909
3,37.4123427,-122.0890225
4,37.4125295,-122.0924091
5,37.4128281,-122.0975847
6,37.4145108,-122.0927022
7,37.4120305,-122.0924009
8,37.4117281,-122.0924568
9,37.4098787,-122.0873606
10,37.4096707,-122.0856291
11,37.4092431,-122.0839546
12,37.412087,-122.0838694
13,37.4121114,-122.0867312
14,37.4114328,-122.0867521
15,37.4116382,-122.0924857
16,37.4117514,-122.0940824
17,37.4117855,-122.0959106
18,37.4118744,-122.0967037
19,37.4114312,-122.0920541
20,37.4114952,-122.0838664
21,37.4116676,-122.0833795
22,37.4111132,-122.0830483
23,37.4116318,-122.0808048
24,37.4124468,-122.0801952
25,37.4193324,-122.1110512
26,37.4187945,-122.1087973
27,37.4179556,-122.1098741
28,37.4140913,-122.0925484
29,37.4141698,-122.0927606
30,37.4215848,-122.0988214
31,37.4204805,-122.0991904
32,37.4205691,-122.1006238
33,37.421687,-122.1002805
34,37.4034448,-122.079778
35,37.4024666,-122.0802034
36,37.4144557,-122.1018967
37,37.412707,-122.0954627
38,37.418533,-122.1089968
39,37.4172113,-122.1055791
40,37.4150435,-122.1041629
41,37.4128606,-122.0811479
42,37.413816,-122.0831554
43,37.4140575,-122.0863921
44,37.4140928,-122.0866022
45,37.4136156,-122.0866623
46,37.4131797,-122.0866881
47,37.4146912,-122.1005969
48,37.415594,-122.1020809
49,37.4153097,-122.1035839
50,37.4143791,-122.1039486
51,37.4140123,-122.1032548
52,37.4137234,-122.1048183
53,37.4141773,-122.1046008
54,37.4133673,-122.1033808
55,37.4123095,-122.1043707
56,37.4128316,-122.1051159
57,37.4129816,-122.1053991
58,37.415903,-122.1037044
59,37.4161975,-122.1042855
60,37.4164924,-122.1041031
61,37.4176637,-122.1142713
62,37.4171115,-122.1153442
63,37.4166684,-122.1161767
64,37.416473,-122.116412
65,37.4147869,-122.1183396
66,37.4119577,-122.113782
67,37.4124418,-122.1133185
68,37.4103215,-122.1098338
69,37.4097829,-122.1104003
70,37.4089648,-122.108821
71,37.4063857,-122.104668
72,37.4060795,-122.1041187
73,37.4053081,-122.1023425
74,37.4038173,-122.0985042
75,37.4063834,-122.0970388
76,37.4061104,-122.0958547
77,37.4056445,-122.0959035
78,37.4039332,-122.0968991
79,37.4037115,-122.096956
80,37.4034797,-122.0968788
81,37.4018502,-122.0932825
82,37.4007865,-122.0906646
83,37.403408,-122.0782383
84,37.4029247,-122.0798852
85,37.4115267,-122.0819654
86,37.3990883,-122.0862141
87,37.4003487,-122.0844858
88,37.399862,-122.0819823
89,37.398025,-122.0831888
90,37.3979431,-122.0829742
91,37.3980454,-122.0826738
92,37.3985568,-122.0823047
93,37.3989932,-122.0814979
94,37.399416,-122.0811718
95,37.3993135,-122.0809122
96,37.3990887,-122.0810001
97,37.3985432,-122.080837
98,37.3981204,-122.0805967
99,37.3979295,-122.0805109
100,37.3973295,-122.0807855
101,37.3972067,-122.0807941
102,37.3970326,-122.0806611
103,37.3968862,-122.0789488
104,37.397135,-122.0782282
105,37.3972924,-122.0782288
106,37.3969856,-122.0773171
107,37.3977525,-122.0768709
108,37.3983591,-122.0764082
109,37.3997858,-122.0779987
110,37.400272,-122.0803062
111,37.4010183,-122.079335
112,37.4015842,-122.0786655
113,37.4019115,-122.0791805
114,37.4023615,-122.0802963
115,37.4044956,-122.0782535
116,37.4056812,-122.0782355
117,37.4056833,-122.0786888
118,37.4063001,-122.0786857
119,37.4088736,-122.0839516
120,37.4088862,-122.0839806
121,37.4139608,-122.099943
122,37.4217683,-122.1015144
123,37.4214609,-122.0969554
124,37.4190486,-122.0971417
125,37.4187999,-122.0931056
126,37.4191087,-122.0931474
127,37.4193999,-122.093098
128,37.4193715,-122.0926768
129,37.4195168,-122.0924011
130,37.4198209,-122.091918
131,37.4198572,-122.0917022
132,37.4196046,-122.0911294
133,37.418685,-122.0898048
134,37.4172109,-122.0877026
135,37.4165654,-122.0868014
136,37.4148443,-122.0844392
137,37.4145239,-122.0850315
138,37.4142512,-122.0858898
139,37.4141966,-122.0866022
140,37.4153091,-122.1035823
141,37.4161395,-122.103322
142,37.4193912,-122.1019573
143,37.4005662,-122.0800443
144,37.3992508,-122.0758725
145,37.4119397,-122.097007
146,37.4118109,-122.0963122
147,37.4112378,-122.092682
148,37.4116917,-122.0926611
149,37.4115813,-122.0927094
150,37.4135143,-122.0925489
151,37.4183333,-122.109234
152,37.4109192,-122.0952734
153,37.4124048,-122.0924824
154,37.4117503,-122.0926556
155,37.4118039,-122.0925906
156,37.4135224,-122.0926382
157,37.4122453,-122.0922659
158,37.4102229,-122.0934602
159,37.4126112,-122.0922688
160,37.411157,-122.0925512
161,37.4118397,-122.0948239
162,37.4117283,-122.0923105
163,37.4135824,-122.1036945
164,37.4137858,-122.0969948
165,37.4136596,-122.082748
166,37.4113425,-122.0816073
167,37.4125877,-122.080504
168,37.4137496,-122.0829525
169,37.4138934,-122.0835915
170,37.4113263,-122.0811901
171,37.4125172,-122.0803437
172,37.4138653,-122.0833674
173,37.4130813,-122.081623
174,37.4135794,-122.0825938
175,37.4141293,-122.0928601
176,37.4141676,-122.0935065
177,37.4139898,-122.0928628
178,37.4140249,-122.0934837
179,37.4143995,-122.0934214
180,37.4142036,-122.0926549
181,37.4142763,-122.0934004
182,37.4143356,-122.09293
183,37.4141289,-122.0928563
184,37.4141683,-122.093496
185,37.4142456,-122.0933633
186,37.4143792,-122.09293
187,37.414222,-122.092965
188,37.4145515,-122.0934174
189,37.4144165,-122.0935282
190,37.414341,-122.0934189
191,37.4143313,-122.0928697
192,37.4142581,-122.0933892
193,37.4152313,-122.1013408
194,37.4188927,-122.0900784
195,37.4198521,-122.0916198
196,37.419716,-122.0921199
197,37.4197746,-122.0920242
198,37.4198339,-122.0915397
199,37.4198038,-122.0914714
200,37.4048075,-122.0979579
201,37.4060852,-122.0962577
202,37.4062301,-122.0961716
203,37.4214119,-122.0969097
204,37.4079558,-122.1032102
205,37.4085638,-122.1042448
206,37.4093492,-122.1035574
207,37.4106829,-122.1059177
208,37.4112197,-122.1065132
209,37.413906,-122.0866248
210,37.4138134,-122.0975203
211,37.4141106,-122.0969705
212,37.4141447,-122.0974922
213,37.4141745,-122.0923948
214,37.4141552,-122.092081
215,37.4141776,-122.0920635
216,37.4141643,-122.0920367
217,37.413987,-122.0920488
218,37.4140114,-122.0924232
219,37.4141158,-122.0924176
220,37.4141165,-122.0924317
221,37.4141858,-122.0924357
222,37.4141963,-122.0924233
223,37.4141951,-122.092404
224,37.4174857,-122.0931287
225,37.4165548,-122.093059
226,37.4156984,-122.0873432
227,37.4163929,-122.0874398
228,37.4163652,-122.0867934
229,37.4157549,-122.088237
230,37.4149879,-122.0881056
231,37.4152441,-122.092865
232,37.4167859,-122.0971749
233,37.4157719,-122.0972714
234,37.4155141,-122.0929048
235,37.4125669,-122.0930533
236,37.4126198,-122.0938387
237,37.4126537,-122.094546
238,37.4127984,-122.1050685
239,37.3963327,-122.0788929
240,37.3967499,-122.0786413
241,37.3972704,-122.0780432
242,37.3973239,-122.0787011
243,37.3973195,-122.0771822
244,37.3971799,-122.0771972
245,37.4117579,-122.0938421
246,37.4117575,-122.0944114
247,37.4130933,-122.0912282
248,37.4131881,-122.0925026
249,37.4144253,-122.0911617
250,37.4119192,-122.0969119
251,37.4119632,-122.0970863
252,37.4127313,-122.0958878
253,37.4132373,-122.0876774
254,37.4132786,-122.0883864
255,37.4093985,-122.0844123
256,37.4095818,-122.0850987
257,37.409745,-122.0861974
258,37.4097568,-122.0865116
259,37.4123683,-122.0894861
260,37.4124173,-122.0903744
261,37.4124274,-122.0905577
262,37.412659,-122.0919345
263,37.4126733,-122.0922023
264,37.4127679,-122.0919252
265,37.4127822,-122.092193
266,37.4128886,-122.0912747
267,37.4129227,-122.0918167
268,37.4129632,-122.0918711
